Sample,Species,SRA,Latitude,Longitude,Average.Depth,Sampling.Locale,K3,K14
RAL287,D. melanogaster,SRX021059,35.7596,-79.0193,9.7,OOA,OOA,OOA_1-anc10
RAL306,D. melanogaster,SRX006139,35.7596,-79.0193,42.9,OOA,OOA,OOA_1-anc10
RAL-319,D. melanogaster,SRR834508,35.7596,-79.0193,37.4,OOA,OOA,OOA_1-anc10
RAL320,D. melanogaster,SRX021063,35.7596,-79.0193,23.9,OOA,OOA,OOA_1-anc10
RAL321,D. melanogaster,SRX021094,35.7596,-79.0193,33.3,OOA,OOA,OOA_1-anc10
RAL-352,D. melanogaster,SRR834516,35.7596,-79.0193,14.9,OOA,OOA,OOA_1-anc10
RAL-354,D. melanogaster,SRR834517,35.7596,-79.0193,46.8,OOA,OOA,OOA_1-anc10
RAL355,D. melanogaster,SRX156028,35.7596,-79.0193,39.9,OOA,OOA,OOA_1-anc10
RAL-356,D. melanogaster,SRR834537,35.7596,-79.0193,14.8,OOA,OOA,OOA_1-anc10
RAL367,D. melanogaster,SRX021103,35.7596,-79.0193,13.3,OOA,OOA,OOA_1-anc10
RAL370,D. melanogaster,SRX021104,35.7596,-79.0193,20.9,OOA,OOA,OOA_1-anc10
RAL377,D. melanogaster,SRX023834,35.7596,-79.0193,62.7,OOA,OOA,OOA_1-anc10
RAL-382,D. melanogaster,SRR834552,35.7596,-79.0193,39.4,OOA,OOA,OOA_1-anc10
RAL385,D. melanogaster,SRX159098,35.7596,-79.0193,9.9,OOA,OOA,OOA_1-anc10
RAL40,D. melanogaster,SRX021235,35.7596,-79.0193,31.6,OOA,OOA,OOA_1-anc10
RAL427,D. melanogaster,SRX006155,35.7596,-79.0193,16.3,OOA,OOA,OOA_1-anc10
RAL42,D. melanogaster,SRX021255,35.7596,-79.0193,18.9,OOA,OOA,OOA_1-anc10
RAL45,D. melanogaster,SRX021261,35.7596,-79.0193,14,OOA,OOA,OOA_1-anc10
RAL461,D. melanogaster,SRX021262,35.7596,-79.0193,17.1,OOA,OOA,OOA_1-anc10
RAL486,D. melanogaster,SRX006157,35.7596,-79.0193,8.4,OOA,OOA,OOA_1-anc10
RAL491,D. melanogaster,SRX021268,35.7596,-79.0193,15,OOA,OOA,OOA_1-anc10
RAL-49,D. melanogaster,SRR835037,35.7596,-79.0193,14.9,OOA,OOA,OOA_1-anc10
RAL505,D. melanogaster,SRX156002,35.7596,-79.0193,42.1,OOA,OOA,OOA_1-anc10
RAL508,D. melanogaster,SRX021272,35.7596,-79.0193,20.5,OOA,OOA,OOA_1-anc10
RAL509,D. melanogaster,SRX021273,35.7596,-79.0193,16.1,OOA,OOA,OOA_1-anc10
RAL513,D. melanogaster,SRX021282,35.7596,-79.0193,19.6,OOA,OOA,OOA_1-anc10
RAL517,D. melanogaster,SRX024362,35.7596,-79.0193,24.2,OOA,OOA,OOA_1-anc10
RAL-528,D. melanogaster,SRR835043,35.7596,-79.0193,36.3,OOA,OOA,OOA_1-anc10
RAL530,D. melanogaster,SRX156031,35.7596,-79.0193,21.3,OOA,OOA,OOA_1-anc10
RAL531,D. melanogaster,SRX021290,35.7596,-79.0193,18.4,OOA,OOA,OOA_1-anc10
RAL-535,D. melanogaster,SRR835046,35.7596,-79.0193,15.2,OOA,OOA,OOA_1-anc10
RAL-589,D. melanogaster,SRR060821,35.7596,-79.0193,9.5,OOA,OOA,OOA_1-anc10
RAL596,D. melanogaster,SRX156004,35.7596,-79.0193,38.1,OOA,OOA,OOA_1-anc10
RAL-627,D. melanogaster,SRR835097,35.7596,-79.0193,45.1,OOA,OOA,OOA_1-anc10
RAL703,D. melanogaster,SRX021508,35.7596,-79.0193,15.4,OOA,OOA,OOA_1-anc10
RAL705,D. melanogaster,SRX006162,35.7596,-79.0193,18.2,OOA,OOA,OOA_1-anc10
RAL-712,D. melanogaster,SRR933587,35.7596,-79.0193,16.9,OOA,OOA,OOA_1-anc10
RAL716,D. melanogaster,SRX021380,35.7596,-79.0193,12,OOA,OOA,OOA_1-anc10
RAL727,D. melanogaster,SRX021382,35.7596,-79.0193,26.5,OOA,OOA,OOA_1-anc10
RAL730,D. melanogaster,SRX006308,35.7596,-79.0193,13.2,OOA,OOA,OOA_1-anc10
RAL-737,D. melanogaster,SRR933592,35.7596,-79.0193,23.8,OOA,OOA,OOA_1-anc10
RAL-73,D. melanogaster,SRR835100,35.7596,-79.0193,13.5,OOA,OOA,OOA_1-anc10
RAL757,D. melanogaster,SRX021385,35.7596,-79.0193,25.8,OOA,OOA,OOA_1-anc10
RAL75,D. melanogaster,SRX021384,35.7596,-79.0193,19.4,OOA,OOA,OOA_1-anc10
RAL761,D. melanogaster,SRX021386,35.7596,-79.0193,15.1,OOA,OOA,OOA_1-anc10
RAL783,D. melanogaster,SRX023455,35.7596,-79.0193,13.6,OOA,OOA,OOA_1-anc10
RAL787,D. melanogaster,SRX021388,35.7596,-79.0193,15.1,OOA,OOA,OOA_1-anc10
RAL790,D. melanogaster,SRX021389,35.7596,-79.0193,17.1,OOA,OOA,OOA_1-anc10
RAL796,D. melanogaster,SRX021390,35.7596,-79.0193,15.7,OOA,OOA,OOA_1-anc10
RAL804,D. melanogaster,SRX021399,35.7596,-79.0193,15.3,OOA,OOA,OOA_1-anc10
RAL805,D. melanogaster,SRX021400,35.7596,-79.0193,16.7,OOA,OOA,OOA_1-anc10
RAL818,D. melanogaster,SRX021478,35.7596,-79.0193,14.6,OOA,OOA,OOA_1-anc10
RAL-819,D. melanogaster,SRR835054,35.7596,-79.0193,62,OOA,OOA,OOA_1-anc10
RAL822,D. melanogaster,SRX021476,35.7596,-79.0193,18.9,OOA,OOA,OOA_1-anc10
RAL832,D. melanogaster,SRX021477,35.7596,-79.0193,14.2,OOA,OOA,OOA_1-anc10
RAL843,D. melanogaster,SRX156036,35.7596,-79.0193,40,OOA,OOA,OOA_1-anc10
RAL850,D. melanogaster,SRX155993,35.7596,-79.0193,40.8,OOA,OOA,OOA_1-anc10
RAL859,D. melanogaster,SRX006176,35.7596,-79.0193,15.5,OOA,OOA,OOA_1-anc10
RAL879,D. melanogaster,SRX021494,35.7596,-79.0193,13,OOA,OOA,OOA_1-anc10
RAL882,D. melanogaster,SRX021496,35.7596,-79.0193,17.3,OOA,OOA,OOA_1-anc10
RAL887,D. melanogaster,SRX021527,35.7596,-79.0193,19.4,OOA,OOA,OOA_1-anc10
RAL892,D. melanogaster,SRX023838,35.7596,-79.0193,21.9,OOA,OOA,OOA_1-anc10
RAL897,D. melanogaster,SRX023457,35.7596,-79.0193,24.7,OOA,OOA,OOA_1-anc10
RAL900,D. melanogaster,SRX156023,35.7596,-79.0193,48.1,OOA,OOA,OOA_1-anc10
RAL911,D. melanogaster,SRX021502,35.7596,-79.0193,16.1,OOA,OOA,OOA_1-anc10
RAL-913,D. melanogaster,SRR835077,35.7596,-79.0193,42.1,OOA,OOA,OOA_1-anc10
RC1,D. melanogaster,SRR189269,-2.29,28.55,25.9,East,AFR2,East-anc4
RC5,D. melanogaster,SRR189270,-2.29,28.55,21.9,East,AFR2,East-anc4
RG13N,D. melanogaster,SRR306634,-2.49,28.92,30.1,East,AFR2,East-anc4
RG15,D. melanogaster,SRR189377,-2.49,28.92,21.6,East,OOA,OOA_minor_1-anc11
RG18N,D. melanogaster,SRR306619,-2.49,28.92,39.9,East,AFR2,East-anc4
RG19,D. melanogaster,SRR189380,-2.49,28.92,26.5,East,AFR2,East-anc4
RG21N,D. melanogaster,SRR189382,-2.49,28.92,36.2,East,AFR2,East-anc4
RG22,D. melanogaster,SRR189383,-2.49,28.92,32.4,East,AFR2,East-anc4
RG24,D. melanogaster,SRR189384,-2.49,28.92,31.1,East,AFR2,East-anc4
RG25,D. melanogaster,SRR189385,-2.49,28.92,31.8,East,AFR2,East-anc4
RG28,D. melanogaster,SRX058350,-2.49,28.92,30.8,East,AFR2,East-anc4
RG2,D. melanogaster,SRR189381,-2.49,28.92,31.9,East,AFR2,East-anc4
RG32N,D. melanogaster,SRX058352,-2.49,28.92,34.8,East,AFR2,East-anc4
RG33,D. melanogaster,SRX058353,-2.49,28.92,56,East,AFR2,East-anc4
RG34,D. melanogaster,SRX058354,-2.49,28.92,27.3,East,AFR2,East-anc4
RG36,D. melanogaster,SRX058357,-2.49,28.92,27.3,East,AFR2,East-anc4
RG38N,D. melanogaster,SRX058359,-2.49,28.92,34.9,East,AFR2,East-anc4
RG39,D. melanogaster,SRX058360,-2.49,28.92,31,East,AFR2,East-anc4
RG4N,D. melanogaster,SRX058362,-2.49,28.92,42.5,East,AFR2,East-anc4
RG5,D. melanogaster,SRX058367,-2.49,28.92,25.1,East,AFR2,East-anc4
RG6N,D. melanogaster,SRX058368,-2.49,28.92,37,East,AFR2,East-anc4
RG7,D. melanogaster,SRX058369,-2.49,28.92,31.1,East,AFR2,East-anc4
RG8,D. melanogaster,SRX058370,-2.49,28.92,38.5,East,AFR2,East-anc4
RG9,D. melanogaster,SRX058371,-2.49,28.92,31.8,East,AFR2,East-anc4
SAS20,D. melanogaster,SRX892001,24.03,-74.31,6.4,South,OOA,OOA_1-anc10
SAS23,D. melanogaster,SRX891974,24.03,-74.31,7.6,South,OOA,OOA_1-anc10
SB16,D. melanogaster,SRR1696818,-30.97,27.59,29.6,South,NA,South_2-anc2
SB51,D. melanogaster,SRR1696824,-30.97,27.59,27.4,South,AFR1,South_1-anc13
SD104N,D. melanogaster,SRR3734182,-25.42,30.1,15.2,South,AFR1,South_minor_1-anc8
SD105N,D. melanogaster,SRR3734183,-25.42,30.1,17.4,South,AFR1,South_minor_1-anc8
SD113N,D. melanogaster,SRR3734275,-25.42,30.1,31.3,South,AFR2,Ethiopia-anc7
SD115N,D. melanogaster,SRR3734277,-25.42,30.1,13.8,South,AFR1,South_2-anc2
SD20N,D. melanogaster,SRR3734304,-25.42,30.1,16.8,South,AFR2,Ethiopia-anc7
SD21N,D. melanogaster,SRR3734305,-25.42,30.1,31.2,South,AFR2,Ethiopia-anc7
SD23N,D. melanogaster,SRR3734306,-25.42,30.1,13.5,South,AFR2,Ethiopia-anc7
SD24N,D. melanogaster,SRR3734307,-25.42,30.1,14.7,South,AFR2,Ethiopia-anc7
SD42N,D. melanogaster,SRR3734318,-25.42,30.1,11.5,South,AFR2,Ethiopia-anc7
SD43N,D. melanogaster,SRR3734319,-25.42,30.1,18,South,AFR2,Ethiopia-anc7
SD44N,D. melanogaster,SRR3734320,-25.42,30.1,12.2,South,AFR2,Ethiopia-anc7
SD45,D. melanogaster,SRR1696869,-25.42,30.1,16.9,South,NA,South_2-anc2
SD47N,D. melanogaster,SRR3734321,-25.42,30.1,11,South,AFR2,Ethiopia-anc7
SD63N,D. melanogaster,SRR3734331,-25.42,30.1,15.7,South,AFR2,Ethiopia-anc7
SD64N,D. melanogaster,SRR3734333,-25.42,30.1,11.6,South,AFR2,Ethiopia-anc7
SD65N,D. melanogaster,SRR3734334,-25.42,30.1,31.5,South,AFR2,Ethiopia-anc7
SD68N,D. melanogaster,SRR3734335,-25.42,30.1,12.5,South,AFR2,Ethiopia-anc7
SD72N,D. melanogaster,SRR3734337,-25.42,30.1,15.6,South,AFR2,Ethiopia-anc7
SD90N,D. melanogaster,SRR3734344,-25.42,30.1,35.1,South,AFR2,Ethiopia-anc7
SD92N,D. melanogaster,SRR3734345,-25.42,30.1,29.8,South,AFR2,Ethiopia-anc7
SD94N,D. melanogaster,SRR3734346,-25.42,30.1,20,South,AFR2,Ethiopia-anc7
SE55,D. melanogaster,SRR1696974,-31.06,30.22,15.1,South,AFR1,South_2-anc2
SE63,D. melanogaster,SRR1696985,-31.06,30.22,10.8,South,AFR1,South_2-anc2
SF110,D. melanogaster,SRR1696986,-28.6,28.05,11.7,South,AFR1,South_2-anc2
SP103N,D. melanogaster,SRR3734347,-23.94,31.14,9.7,South,AFR2,Ethiopia-anc7
SP107N,D. melanogaster,SRR3734348,-23.94,31.14,16.8,South,AFR2,Ethiopia-anc7
SP115N,D. melanogaster,SRR3734349,-23.94,31.14,26.1,South,AFR2,Ethiopia-anc7
SP173,D. melanogaster,SRR306623,-23.94,31.14,30,South,AFR1,South_1-anc13
SP201N,D. melanogaster,SRR3734360,-23.94,31.14,21.9,South,AFR2,Ethiopia-anc7
SP213N,D. melanogaster,SRR3734361,-23.94,31.14,20.4,South,OOA,OOA_minor_2-anc12
SP221,D. melanogaster,SRR189277,-23.94,31.14,34.7,South,AFR1,South_2-anc2
SP254,D. melanogaster,SRR306614,-23.94,31.14,41.2,South,AFR1,South_minor_2-anc9
SP291N,D. melanogaster,SRR3734366,-23.94,31.14,20.7,South,OOA,OOA_minor_2-anc12
SP315N,D. melanogaster,SRR3734367,-23.94,31.14,14.1,South,AFR2,Ethiopia-anc7
SP95N,D. melanogaster,SRR3734377,-23.94,31.14,18,South,OOA,OOA_minor_2-anc12
T30A,D. melanogaster,SRX766187,-41.4545,145.9707,10.9,OOA,OOA,OOA_1-anc10
TZ10,D. melanogaster,SRR189272,-8.89,33.44,23.6,East,NA,South_2-anc2
TZ14,D. melanogaster,SRR189273,-8.89,33.44,30.5,East,AFR2,South_2-anc2
TZ8,D. melanogaster,SRR189274,-8.89,33.44,31.1,East,AFR1,South_2-anc2
UG19,D. melanogaster,SRR189412,0.53,32.6,31.9,East,AFR2,East-anc4
UG28N,D. melanogaster,SRR189265,0.53,32.6,32.9,East,AFR2,East-anc4
UG5N,D. melanogaster,SRR189415,0.53,32.6,29.7,East,AFR2,East-anc4
UG7,D. melanogaster,SRR189416,0.53,32.6,32.6,East,AFR2,East-anc4
UK2,D. melanogaster,SRR1696993,-1.28,29.69,23.5,East,AFR2,East-anc4
UK73,D. melanogaster,SRR1696995,-1.28,29.69,14.8,East,AFR2,East-anc4
ZH16,D. melanogaster,SRR21846095,-17.83,31.05,48.2,South,AFR1,HD-anc1
ZH20,D. melanogaster,SRR21846092,-17.83,31.05,47.3,South,AFR1,HD-anc1
ZH21,D. melanogaster,SRR21846091,-17.83,31.05,53.8,South,AFR1,HD-anc1
ZH23,D. melanogaster,SRR1663598,-17.83,31.05,10.3,South,AFR1,South_2-anc2
ZH29,D. melanogaster,SRR21846089,-17.83,31.05,27.3,South,AFR1,HD-anc1
ZH33,D. melanogaster,SRR21846087,-17.83,31.05,44.9,South,AFR1,HD-anc1
ZH42,D. melanogaster,SRR21846084,-17.83,31.05,39.1,South,AFR1,HD-anc1
ZI103,D. melanogaster,SRR203226,-16.54,28.72,30.8,South,AFR1,South_minor_2-anc9
ZI114N,D. melanogaster,SRR654662,-16.54,28.72,41.4,South,AFR1,South_2-anc2
ZI117,D. melanogaster,SRR248130,-16.54,28.72,27.5,South,AFR1,South_2-anc2
ZI118N,D. melanogaster,SRR654664,-16.54,28.72,29.7,South,AFR1,South_2-anc2
ZI126,D. melanogaster,SRR203336,-16.54,28.72,38.6,South,AFR1,South_1-anc13
ZI129,D. melanogaster,SRR203232,-16.54,28.72,31.4,South,AFR1,South_1-anc13
ZI134N,D. melanogaster,SRR326933,-16.54,28.72,34.7,South,AFR1,South_1-anc13
ZI136,D. melanogaster,SRR204007,-16.54,28.72,33.8,South,AFR1,South_2-anc2
ZI138,D. melanogaster,SRR203474,-16.54,28.72,37.5,South,AFR1,South_1-anc13
ZI152,D. melanogaster,SRR326790,-16.54,28.72,30.8,South,AFR1,South_1-anc13
ZI157,D. melanogaster,SRR202089,-16.54,28.72,32.1,South,AFR1,South_minor_2-anc9
ZI161,D. melanogaster,SRR353759,-16.54,28.72,31.5,South,AFR1,South_2-anc2
ZI164,D. melanogaster,SRR346921,-16.54,28.72,33.5,South,AFR1,South_minor_2-anc9
ZI165,D. melanogaster,SRR248129,-16.54,28.72,30.4,South,AFR1,South_1-anc13
ZI167,D. melanogaster,SRR654553,-16.54,28.72,36.8,South,AFR1,South_1-anc13
ZI170,D. melanogaster,SRR210787,-16.54,28.72,26,South,AFR1,South_1-anc13
ZI172,D. melanogaster,SRR326800,-16.54,28.72,35.1,South,AFR1,South_1-anc13
ZI173,D. melanogaster,SRR203330,-16.54,28.72,34,South,AFR1,South_1-anc13
ZI176,D. melanogaster,SRR210794,-16.54,28.72,36.5,South,AFR1,South_1-anc13
ZI181,D. melanogaster,SRR203069,-16.54,28.72,31.4,South,AFR1,South_1-anc13
ZI182,D. melanogaster,SRR203473,-16.54,28.72,36,South,AFR1,South_1-anc13
ZI184,D. melanogaster,SRR203068,-16.54,28.72,32,South,AFR1,South_1-anc13
ZI188,D. melanogaster,SRR202123,-16.54,28.72,34.7,South,AFR1,South_minor_2-anc9
ZI198,D. melanogaster,SRR203230,-16.54,28.72,29.4,South,AFR1,South_2-anc2
ZI202,D. melanogaster,SRR203238,-16.54,28.72,33.4,South,AFR1,South_minor_2-anc9
ZI206,D. melanogaster,SRR203506,-16.54,28.72,35.4,South,AFR1,South_2-anc2
ZI241,D. melanogaster,SRR326798,-16.54,28.72,36.1,South,AFR1,South_minor_2-anc9
ZI250,D. melanogaster,SRR202127,-16.54,28.72,26.8,South,AFR1,South_1-anc13
ZI251N,D. melanogaster,SRR354001,-16.54,28.72,27.9,South,AFR1,South_minor_2-anc9
ZI252,D. melanogaster,SRR203349,-16.54,28.72,34.2,South,AFR1,South_1-anc13
ZI313,D. melanogaster,SRR203327,-16.54,28.72,34.5,South,AFR1,South_2-anc2
ZI314,D. melanogaster,SRR203510,-16.54,28.72,36.5,South,AFR1,South_1-anc13
ZI316,D. melanogaster,SRR248059,-16.54,28.72,25.7,South,AFR1,South_2-anc2
ZI348,D. melanogaster,SRR203475,-16.54,28.72,35.4,South,AFR1,South_1-anc13
ZI352,D. melanogaster,SRR654676,-16.54,28.72,39.5,South,AFR1,South_2-anc2
ZI402,D. melanogaster,SRR353999,-16.54,28.72,28.1,South,AFR1,South_1-anc13
ZI405,D. melanogaster,SRR354003,-16.54,28.72,32.3,South,AFR1,South_2-anc2
ZI413,D. melanogaster,SRR203509,-16.54,28.72,32.1,South,AFR1,South_1-anc13
ZI471,D. melanogaster,SRR203500,-16.54,28.72,31.1,South,AFR1,South_1-anc13
ZI517,D. melanogaster,SRR353758,-16.54,28.72,33.4,South,AFR1,South_1-anc13
ZI524,D. melanogaster,SRR326795,-16.54,28.72,32.6,South,AFR1,South_2-anc2
ZI76,D. melanogaster,SRR248123,-16.54,28.72,27.9,South,AFR1,South_2-anc2
ZL130,D. melanogaster,SRR306616,-17.86,25.86,41.3,South,OOA,OOA_minor_1-anc11
ZO65,D. melanogaster,SRR189283,-12.18,26.4,34,South,AFR1,South_2-anc2
ZS29,D. melanogaster,SRR21846081,-18.16,28.22,37.5,South,AFR1,South_2-anc2
ZS30,D. melanogaster,SRR21846080,-18.16,28.22,50.7,South,AFR1,South_2-anc2
ZS37,D. melanogaster,SRX058373,-18.16,28.22,34.7,South,AFR1,South_minor_2-anc9
ZS40,D. melanogaster,SRR21846079,-18.16,28.22,70.8,South,AFR1,South_2-anc2
ZS49,D. melanogaster,SRR21846078,-18.16,28.22,52.8,South,AFR1,South_2-anc2
ZS53,D. melanogaster,SRR21846077,-18.16,28.22,34.6,South,AFR1,South_minor_2-anc9
ZS56,D. melanogaster,SRR21846076,-18.16,28.22,37.6,South,AFR1,South_minor_2-anc9
ZS5,D. melanogaster,SRR21846074,-18.16,28.22,60.6,South,AFR1,South_2-anc2
ZW140,D. melanogaster,SRR1663605,-17.94,25.83,11.4,South,AFR1,South_1-anc13
ZW142,D. melanogaster,SRR1663606,-17.94,25.83,11.4,South,AFR1,South_1-anc13
ZW144,D. melanogaster,SRR1663607,-17.94,25.83,10.6,South,AFR1,South_1-anc13
ZW177,D. melanogaster,SRR1663609,-17.94,25.83,11,South,AFR1,South_1-anc13
ZW184,D. melanogaster,SRR1663610,-17.94,25.83,10.8,South,OOA,OOA_2-anc5
