Sample,Species,SRA,Latitude,Longitude,Average.Depth,Sampling.Locale,K3,K14
GA07,D. melanogaster,ERR705973,33.96,-83.37,41.8,OOA,OOA,OOA_1-anc10
GA09,D. melanogaster,ERR705976,33.96,-83.37,39.6,OOA,OOA,OOA_1-anc10
GA10,D. melanogaster,ERR705977,33.96,-83.37,39.6,OOA,OOA,OOA_1-anc10
GA11,D. melanogaster,ERR705978,33.96,-83.37,39.5,OOA,OOA,OOA_1-anc10
GAB125,D. melanogaster,SRR189100,-1.65,13.6,36,West,AFR2,West-anc3
GAB129,D. melanogaster,SRR189101,-1.65,13.6,39.5,West,AFR2,West-anc3
GAB132,D. melanogaster,SRR189104,-1.65,13.6,37.7,West,AFR2,West-anc3
GAB141,D. melanogaster,SRR189105,-1.65,13.6,38.2,West,AFR2,West-anc3
GAB160,D. melanogaster,SRR189107,-1.65,13.6,27.6,West,AFR2,West-anc3
GAB185,D. melanogaster,SRX058199,-1.65,13.6,40.9,West,AFR2,West-anc3
GAB187,D. melanogaster,SRR097730,-1.65,13.6,40.1,West,AFR2,West-anc3
GAB191,D. melanogaster,SRX058200,-1.65,13.6,30.8,West,AFR2,West-anc3
GATH29,D. melanogaster,SRX891921,30.5,-83.58,9.6,OOA,OOA,OOA_1-anc10
GATH34,D. melanogaster,SRX891923,30.5,-83.58,9.6,OOA,OOA,OOA_1-anc10
GH01,D. melanogaster,ERR705987,5.55,-0.2,44.6,West,AFR2,West-anc3
GH02,D. melanogaster,ERR705989,5.55,-0.2,44,West,AFR2,West-anc3
GH04,D. melanogaster,ERR705991,5.55,-0.2,44.1,West,AFR2,West-anc3
GH05,D. melanogaster,ERX650251,5.55,-0.2,43.9,West,AFR2,West-anc3
GH06,D. melanogaster,ERX650253,5.55,-0.2,44.6,West,AFR2,West-anc3
GH08,D. melanogaster,ERR705998,5.55,-0.2,43.7,West,AFR2,West-anc3
GH09,D. melanogaster,ERX650257,5.55,-0.2,44,West,AFR2,West-anc3
